component_id,lot_id,is_defective,Value_0h_iddq_ua,Value_24h_iddq_ua,Value_96h_iddq_ua,Value_168h_iddq_ua,Value_0h_leakage_ua,Value_24h_leakage_ua,Value_96h_leakage_ua,Value_168h_leakage_ua,Value_0h_prop_delay_ns,Value_24h_prop_delay_ns,Value_96h_prop_delay_ns,Value_168h_prop_delay_ns
C_00191,LOT_004,False,30.4887,31.2643,32.5629,33.2349,8.984,9.5568,9.5251,9.4336,4.3562,4.3165,4.3439,4.4919
C_00192,LOT_004,False,29.5657,28.3842,29.6627,30.0756,10.4774,10.4991,11.3836,10.7162,4.6979,4.6559,4.6408,4.6579
C_00193,LOT_004,False,30.3805,30.013,31.6583,30.8839,10.015,10.1926,10.3186,10.4998,4.217,4.3915,4.1889,4.4553
C_00194,LOT_004,False,28.1559,27.8446,28.3272,29.4236,9.5567,9.9639,9.8725,10.0581,4.9608,4.8887,4.9103,4.8788
C_00195,LOT_004,False,28.5243,29.3021,31.0142,30.6146,8.2938,8.7831,8.5696,8.7116,4.6698,4.5212,4.5249,4.6832
C_00196,LOT_004,False,30.489,30.7496,31.0003,31.2757,9.5628,10.0417,9.8865,9.4991,4.8368,4.5137,4.6123,4.4841
C_00197,LOT_004,False,27.879,27.534,28.6402,28.6804,9.4009,9.5151,9.2114,9.9788,4.5057,4.4166,4.4039,4.4135
C_00198,LOT_004,True,27.5322,33.5014,41.6713,48.6845,9.4333,11.0283,13.2239,15.1662,4.4386,4.6812,5.4823,5.806
C_00199,LOT_004,False,25.5171,25.247,27.1408,26.4454,9.6687,9.7256,10.5192,10.506,4.4901,4.5149,4.6174,4.4302
C_00200,LOT_004,False,28.8285,28.8023,28.9416,30.4152,9.7892,9.9458,10.5077,10.673,4.3989,4.4006,4.2944,4.595
C_00201,LOT_005,False,28.321,27.8965,29.127,28.5063,10.2084,10.0554,10.6743,10.9783,4.2954,4.2056,4.3313,4.1585
C_00202,LOT_005,False,26.8516,27.583,27.5629,28.926,9.8297,10.124,10.0014,10.3912,4.2161,4.22,4.3227,4.3617
C_00203,LOT_005,False,26.8291,26.6966,26.317,27.2384,10.5919,10.6144,10.7782,11.5287,4.1896,4.1904,4.1872,4.239
C_00204,LOT_005,False,25.9293,25.2707,26.0107,25.3452,9.6653,10.0838,10.1451,10.7174,4.2431,4.0578,4.2487,4.1353
C_00205,LOT_005,False,26.4366,26.21,26.5017,26.0008,10.4048,10.3405,10.548,10.9902,3.8402,3.9295,3.777,3.8625
C_00206,LOT_005,False,27.2219,28.4396,28.9252,28.6864,9.4768,10.0343,9.8655,10.4961,3.6403,3.4542,3.7544,3.6833
C_00207,LOT_005,False,28.3556,27.968,29.0544,29.0997,10.4998,10.9334,11.1264,11.0377,4.2321,4.2866,4.2885,4.2549
C_00208,LOT_005,False,28.5676,29.5051,28.9765,29.6746,10.0943,10.0486,10.081,10.7381,4.1795,4.3133,4.4002,4.3094
C_00209,LOT_005,False,27.2482,27.7065,27.4024,28.9551,10.3527,10.7794,11.3407,11.4259,3.9657,3.794,3.7903,3.8093
C_00210,LOT_005,False,28.3131,29.6732,29.6003,29.9572,8.2744,8.0931,8.4256,8.5662,3.5754,3.6931,3.5925,3.4571
C_00211,LOT_005,False,25.9619,26.027,26.0167,27.2703,9.442,9.8643,9.9175,10.0873,4.1917,4.1399,4.2355,4.1889
C_00212,LOT_005,False,27.0773,28.8333,30.1171,30.3866,8.7566,9.4584,9.3836,9.6248,4.2281,4.1054,4.1187,4.3622
C_00213,LOT_005,False,26.4096,26.2985,27.1673,27.8031,9.3357,9.3383,9.4808,9.8702,4.2705,4.3527,4.2613,4.1608
C_00214,LOT_005,False,26.0153,27.5808,27.6901,27.4068,10.1944,10.305,10.9214,11.1569,4.089,4.1757,4.1687,4.2316
C_00215,LOT_005,False,23.2088,24.2127,24.4453,24.2323,9.585,9.7162,9.852,10.4662,4.0211,4.0273,4.0808,4.1335
C_00216,LOT_005,False,25.7261,26.2649,27.0437,28.7305,9.2638,9.3879,9.1584,9.8494,4.1985,4.1106,4.3115,4.119
C_00217,LOT_005,False,24.9299,26.0113,25.3439,26.1932,10.0861,9.9661,10.2502,10.0118,4.1116,4.284,4.1814,4.0006
C_00218,LOT_005,False,26.5353,27.3405,26.9414,26.7379,10.0896,10.5187,10.9111,10.8702,4.5735,4.6,4.5756,4.6211
C_00219,LOT_005,False,26.5368,26.2644,26.9683,27.5005,9.9117,10.1264,9.8522,10.1218,4.2375,4.3241,4.3612,4.2991
C_00220,LOT_005,False,25.8355,25.9651,25.6171,26.2485,8.7184,8.7815,8.7414,8.7774,3.8735,4.0119,4.1468,3.9447
C_00221,LOT_005,False,28.5599,27.6768,27.2896,28.2613,9.6389,9.7877,9.9807,9.8906,3.7284,3.8423,3.8271,3.8311
C_00222,LOT_005,False,30.1762,29.2601,29.8579,30.2864,9.4653,9.7632,9.878,10.1927,3.9814,3.9224,3.8812,3.766
C_00223,LOT_005,False,27.2776,26.7052,28.2155,27.815,10.0975,10.184,10.1304,10.4439,3.7406,3.6591,3.7621,3.7271
C_00224,LOT_005,False,25.5511,25.9312,27.0877,26.5751,9.0606,9.5112,9.8268,10.0651,4.2213,4.2551,4.2272,4.2877
C_00225,LOT_005,False,24.3004,23.6121,25.4328,25.0474,10.8353,11.0954,11.0061,11.4205,3.8926,3.8962,3.9766,3.9479
C_00226,LOT_005,False,26.8166,26.1738,27.2716,27.3607,9.3689,10.0206,9.6123,10.2947,3.7043,3.7255,3.7449,3.7075
C_00227,LOT_005,False,28.3681,28.6703,28.8656,29.8051,8.796,9.1478,9.5184,9.4623,4.1868,4.0937,4.1982,4.246
C_00228,LOT_005,False,28.4532,28.3507,29.0491,28.0315,8.9291,9.0883,9.5798,9.7787,3.9109,4.1741,4.1648,4.2125
C_00229,LOT_005,True,24.7906,36.8682,49.9129,58.282,10.2753,13.2209,18.4901,22.7186,4.1053,4.5366,4.8098,5.1621
C_00230,LOT_005,False,25.7432,27.6511,27.1828,28.4672,9.6835,9.6074,10.1855,10.0116,3.9544,4.0915,4.0158,4.0593
C_00231,LOT_005,False,28.528,30.7974,30.0853,30.4012,10.2062,10.4884,10.6356,10.9934,3.7457,3.8588,3.9676,3.733
C_00232,LOT_005,False,26.5183,26.7569,27.2289,27.8876,9.2944,9.6022,9.8976,10.5674,4.4804,4.4552,4.6022,4.5756
C_00233,LOT_005,False,27.3794,26.8572,27.6122,27.9438,9.93,9.8804,10.2896,10.2589,4.2348,4.1988,3.9955,4.2108
C_00234,LOT_005,False,27.4616,26.9351,27.4559,28.3553,8.7105,8.996,9.0132,9.7239,3.8239,4.0764,3.9729,3.8945
C_00235,LOT_005,False,26.7624,26.9134,25.9792,27.0079,9.1119,8.9426,8.9536,9.0134,4.165,3.8601,3.9809,4.0238
C_00236,LOT_005,False,28.8555,29.644,30.4521,31.1428,10.304,10.5571,10.7992,11.0657,3.8451,3.9695,3.8853,3.9323
C_00237,LOT_005,False,26.2723,26.8667,25.9111,28.03,8.9498,9.1475,9.6162,9.6159,4.1943,4.19,4.2712,4.2331
C_00238,LOT_005,False,25.6721,26.7401,27.1376,27.527,8.7899,8.9743,9.05,9.4142,4.1553,4.0948,4.2054,4.3629
C_00239,LOT_005,False,28.393,27.9502,28.974,28.56,10.8148,10.6891,11.0395,11.7214,3.6647,3.6983,3.5937,3.6944
C_00240,LOT_005,False,25.8077,25.4887,26.0458,27.2414,8.6713,9.2331,8.85,9.3616,4.5596,4.7704,4.5857,4.7265
C_00241,LOT_006,False,23.3245,23.709,24.7852,25.0878,9.7893,9.961,10.6902,10.8724,5.2929,5.0791,5.2008,5.2054
C_00242,LOT_006,True,24.79,49.36,91.7061,125.2435,10.1069,18.7923,32.3319,42.6243,5.1753,5.5347,6.7149,7.42
C_00243,LOT_006,False,24.8379,25.2034,26.3356,26.9407,9.7838,10.1222,10.5226,10.362,4.9029,5.1172,4.9506,5.2448
C_00244,LOT_006,False,25.3475,25.8412,25.5772,26.1176,10.0725,10.1435,10.5719,10.9553,4.8208,4.9606,4.9659,5.0871
C_00245,LOT_006,False,22.5679,22.2168,23.8155,24.7245,8.3818,8.5085,8.5892,8.7966,5.0576,5.2407,5.3003,5.3776
C_00246,LOT_006,False,26.2599,26.9738,26.8353,27.2582,9.7363,10.0524,10.2085,10.3212,4.7166,4.9319,4.8598,5.1147
C_00247,LOT_006,False,25.5925,25.609,27.2841,28.6632,8.7993,8.9417,9.0349,8.9389,5.0529,4.8103,4.89,5.0555
C_00248,LOT_006,False,24.11,24.0703,25.1846,25.2965,9.9179,9.976,10.1106,10.5279,4.7211,4.6292,4.7019,4.888
C_00249,LOT_006,True,27.3221,39.1141,58.5932,76.2947,8.5756,13.9778,21.9469,28.0654,4.6204,5.4322,6.6275,7.4122
C_00250,LOT_006,False,25.1353,24.8782,26.2785,27.1351,7.9067,7.8279,8.0246,8.0095,4.7942,4.6536,4.8601,4.895
C_00251,LOT_006,False,23.8798,24.4445,24.5731,25.3755,9.6629,9.7608,9.9001,10.1067,4.2046,4.2548,4.3253,4.2137
C_00252,LOT_006,False,25.7947,26.2166,27.0236,27.0155,10.0924,10.1058,10.8935,11.0528,4.4847,4.3662,4.481,4.6465
C_00253,LOT_006,False,26.3004,26.5521,28.3498,28.6532,8.5946,8.5137,8.5002,9.0155,4.9219,5.0345,5.0336,5.2232
C_00254,LOT_006,False,24.429,25.786,26.2631,26.4325,8.7292,8.7737,9.0,9.1387,4.923,4.9853,5.0501,5.1146
C_00255,LOT_006,False,25.0154,25.7609,25.5027,26.8315,8.8679,8.777,9.0018,9.1355,5.2923,5.0437,5.361,5.5392
C_00256,LOT_006,False,24.4706,26.3013,27.7926,28.2401,9.9405,9.5313,10.1754,10.3824,4.1223,4.2782,4.3357,4.2022
C_00257,LOT_006,False,25.5848,26.4123,26.6831,27.5565,9.0721,9.4855,9.7185,9.8769,4.7275,4.8431,4.8522,4.8543
C_00258,LOT_006,False,23.4641,25.3889,25.9132,26.0209,8.8747,9.0564,8.9258,9.4405,4.55,4.752,4.7582,4.9599
C_00259,LOT_006,False,23.5904,23.9052,24.2391,25.6452,8.845,9.2134,9.2965,9.3302,3.8076,3.9364,4.0043,4.0073
C_00260,LOT_006,False,21.7248,21.669,23.2035,24.2465,9.373,10.118,9.7885,9.9772,4.8907,4.936,4.7416,5.0574
C_00261,LOT_006,False,23.9297,24.6716,25.34,24.9018,9.832,10.0766,9.8305,10.1021,4.9353,4.5911,5.1985,5.0462
C_00262,LOT_006,False,27.2626,28.5374,28.2711,28.8987,10.0663,10.6267,10.4659,10.6664,4.8569,4.779,4.8897,5.0143
C_00263,LOT_006,True,24.4032,42.6124,72.5756,96.8662,9.932,16.0502,24.906,31.436,5.0231,5.6007,6.365,7.0662
C_00264,LOT_006,True,25.8844,38.0964,59.2462,75.8253,9.3713,12.6906,18.3037,22.6005,4.2808,4.9902,5.8686,6.6622
C_00265,LOT_006,False,25.5071,26.3204,27.1416,27.8122,8.8528,8.7674,9.0257,8.8184,5.0694,5.161,5.1472,5.1441
C_00266,LOT_006,False,27.2111,26.7679,28.9152,29.4075,9.535,9.8398,10.3492,10.4249,4.3964,4.5585,4.4428,4.6756
C_00267,LOT_006,True,26.5314,38.5242,59.5996,75.4987,9.0323,11.5005,15.754,18.6893,5.4971,6.3326,7.615,8.5046
C_00268,LOT_006,False,24.5137,25.0642,25.3397,26.7011,9.0712,9.2349,9.4126,9.5341,5.2911,5.2599,5.4071,5.444
C_00269,LOT_006,False,23.406,23.5351,23.824,24.3735,9.1424,9.6544,10.0794,9.5424,4.487,4.5535,4.6032,4.8139
C_00270,LOT_006,True,27.8091,34.5189,53.2089,65.608,9.571,11.0702,15.1882,17.1609,4.868,5.5368,6.162,7.0899
C_00271,LOT_006,False,25.1427,25.6464,26.9602,28.6302,8.6631,8.7623,8.7594,9.1318,4.7821,4.726,4.8328,5.0845
C_00272,LOT_006,False,24.2511,24.2104,24.304,24.3875,9.1733,9.2066,9.4076,9.7242,4.764,4.9692,5.0224,5.1752
C_00273,LOT_006,False,25.4754,25.9309,27.8898,27.3094,7.2666,7.5966,7.9138,7.7794,4.9676,5.1593,5.29,5.1304
C_00274,LOT_006,False,25.3013,26.1315,26.1582,27.5262,8.7568,9.3312,9.7325,9.827,5.3067,5.5717,5.5374,5.684
C_00275,LOT_006,False,25.7148,26.7913,26.6454,27.0183,9.489,9.4813,10.3171,10.0896,4.9142,4.975,5.0372,4.8973
C_00276,LOT_006,False,23.1566,23.276,25.8688,26.2879,8.5685,8.6119,8.2807,9.1667,4.5877,4.7061,4.512,4.6187
C_00277,LOT_006,False,24.5301,26.0337,25.9686,26.42,9.11,9.2094,9.0447,9.4968,4.6899,4.7886,4.889,4.9972
C_00278,LOT_006,False,26.2177,26.1595,28.3332,28.9764,9.1405,9.4854,9.8448,10.5661,5.2253,5.3293,5.1318,5.3996
C_00279,LOT_006,False,24.5543,25.0888,25.5039,28.0459,8.7799,8.8823,8.7568,9.1065,4.6294,4.8335,4.8998,4.5785
C_00280,LOT_006,False,25.6557,27.279,27.8182,26.9302,8.4373,8.7336,8.9133,9.4784,4.7668,4.6922,4.8044,4.582
C_00281,LOT_007,False,25.197,25.2839,24.9259,25.5642,8.7771,8.899,9.2311,8.9548,5.3791,5.4186,5.2904,5.6504
C_00282,LOT_007,False,25.4194,25.4096,26.6038,26.0678,9.211,9.2128,9.6807,9.7322,5.4803,5.4308,5.4443,5.5102
C_00283,LOT_007,False,24.238,24.7335,25.8609,25.4922,8.4965,8.4372,8.8938,8.6644,4.9334,4.7706,4.8697,5.1416
C_00284,LOT_007,True,24.8449,30.7731,37.048,41.5184,8.4606,13.1466,19.4268,23.4895,5.0845,5.3496,5.9589,6.4931
C_00285,LOT_007,False,22.1339,21.6463,22.6319,22.1968,8.9568,9.4635,10.1014,10.3227,5.232,5.29,5.5465,5.43
C_00286,LOT_007,False,24.5045,25.269,23.7017,24.5815,8.1185,8.3113,8.1324,8.5282,5.4631,5.3622,5.4464,5.6016
C_00287,LOT_007,False,24.2923,24.4421,25.5224,25.4041,8.835,8.5229,8.8454,8.9992,5.1926,5.2422,5.2705,5.5485
C_00288,LOT_007,False,27.2447,27.1943,27.7537,27.3567,9.1955,9.5941,9.4956,9.5825,5.5514,5.6881,5.7216,5.7995
C_00289,LOT_007,False,23.8911,24.7752,23.7821,24.207,9.2658,9.3719,9.688,10.2725,4.8254,4.8179,4.8251,4.8268
C_00290,LOT_007,True,25.9427,34.273,45.8045,52.0052,9.4545,11.5667,14.0272,16.3584,5.3806,5.8618,6.3594,7.0114
C_00291,LOT_007,False,24.4135,24.9137,26.3659,25.7846,8.5606,8.557,8.8401,9.3978,5.5897,5.2518,5.6142,5.6206
C_00292,LOT_007,False,25.5794,25.7378,26.3714,26.6638,8.899,9.5124,9.347,9.3089,5.2071,5.3585,5.2853,5.348
C_00293,LOT_007,False,25.6751,26.0041,25.996,26.8733,9.8238,9.8138,9.879,9.8705,5.4207,5.3895,5.3156,5.5704
C_00294,LOT_007,False,23.5357,23.8998,24.1904,24.1691,10.1017,10.3141,10.3902,10.4654,4.8007,4.8943,4.972,4.9568
C_00295,LOT_007,False,27.078,27.497,28.5993,27.79,9.2175,9.3421,9.0848,9.5335,5.0159,4.979,5.1461,5.0889
C_00296,LOT_007,False,25.9845,26.1178,26.3707,27.1398,8.6543,8.8168,9.0094,9.3451,4.9847,5.2319,5.2822,5.4745
C_00297,LOT_007,False,25.8622,26.4275,26.8766,28.0817,7.76,8.071,8.2837,8.2489,4.0244,4.1112,4.1523,4.1317
C_00298,LOT_007,False,25.0016,24.3378,25.1467,25.0657,8.9959,9.1179,8.9315,9.4196,4.6379,4.7423,4.8413,4.9523
C_00299,LOT_007,False,24.2405,24.8823,25.4294,26.347,7.7912,8.0038,8.2017,8.2275,5.1361,5.2108,5.2923,5.2579
C_00300,LOT_007,False,23.7708,24.7999,25.7052,26.0416,9.1999,9.3896,9.1451,9.4605,5.4539,5.6157,5.4917,5.5875
C_00301,LOT_007,False,23.9047,23.7521,24.7714,24.8807,9.4169,9.6734,9.7175,9.7986,4.9292,4.9468,4.9214,4.9294
C_00302,LOT_007,False,24.601,25.2575,24.6274,24.8836,8.4046,8.3254,8.3425,8.8547,5.5332,5.0094,5.3161,5.2747
C_00303,LOT_007,False,22.567,22.9031,23.892,24.8355,8.3252,8.5979,8.9139,8.769,5.0882,5.122,5.0058,5.2917
C_00304,LOT_007,False,23.3187,24.118,23.5516,24.907,9.5606,9.4651,10.1162,10.1184,4.5625,4.5561,4.6311,4.7829
C_00305,LOT_007,False,26.2581,26.2031,25.5131,25.2244,9.1736,9.2323,9.3357,9.5627,5.0717,5.297,4.962,5.2525
C_00306,LOT_007,False,23.2297,24.4556,24.2026,24.2478,8.6406,8.8928,8.8459,8.6341,4.8295,4.9682,4.9429,4.9226
C_00307,LOT_007,False,24.3515,24.4545,25.9791,25.2428,8.4551,9.0902,9.2266,9.233,5.7097,5.5077,5.5106,5.4385
C_00308,LOT_007,False,26.4568,27.3235,27.1942,27.8686,8.5545,8.5895,8.5303,8.4428,5.1031,5.2095,5.4415,5.237
C_00309,LOT_007,False,24.8078,24.6299,25.4766,25.417,8.0466,8.0514,8.4242,8.6179,4.9759,4.9373,5.0169,5.0598
C_00310,LOT_007,False,21.1554,21.5405,22.0877,21.3814,8.8137,8.7567,9.0184,8.5508,5.0228,5.2453,5.1418,5.3688
C_00311,LOT_007,False,26.863,28.4288,27.8714,27.51,9.2006,9.1316,8.838,8.8626,4.9912,5.0746,4.9468,4.9321
C_00312,LOT_007,False,26.6395,26.9323,26.6754,27.9516,9.5966,9.5261,9.8445,9.671,4.7076,4.5578,4.7317,4.8551
C_00313,LOT_007,False,24.4998,24.297,24.9688,24.4777,8.4039,8.6831,9.0069,8.7613,4.7755,4.6009,4.7444,4.6478
C_00314,LOT_007,False,28.1964,28.2791,28.5551,28.1631,8.5426,8.3741,8.3213,8.6354,5.4866,5.3899,5.3185,5.3023
C_00315,LOT_007,False,24.3556,24.6176,24.518,24.1169,8.438,8.4355,8.6013,8.9191,4.9048,5.0045,4.9339,5.0274
C_00316,LOT_007,False,24.8185,27.1407,26.3728,26.8946,9.7259,9.7816,10.1252,10.2923,5.2563,5.6795,5.5879,5.5314
C_00317,LOT_007,False,22.5214,22.5398,23.0586,24.0542,7.7861,8.2735,8.3971,8.7216,4.5136,4.6089,4.7403,4.7229
C_00318,LOT_007,False,23.4058,24.2891,23.4191,23.5902,8.8721,9.25,9.5582,9.378,4.7984,4.8441,4.8862,4.9709
C_00319,LOT_007,False,26.9435,26.6706,26.8021,27.4648,9.4872,9.6476,10.0637,9.8703,4.8632,4.9023,4.8999,5.1283
C_00320,LOT_007,False,25.4606,26.1169,26.2328,27.1103,9.4844,8.9399,9.8051,9.4179,4.9274,5.4257,5.1754,5.4449
C_00321,LOT_008,False,28.5989,28.5547,28.8596,30.0153,10.6825,10.7159,10.9823,10.7834,4.5099,4.5452,4.5183,4.5088
C_00322,LOT_008,True,30.1762,37.7725,47.9014,53.1834,10.1814,15.686,22.9061,28.7075,4.2576,4.8672,5.7632,6.4745
C_00323,LOT_008,False,26.5666,26.5766,25.9453,27.2213,9.4762,9.3518,9.9034,10.1795,4.0483,4.0779,4.1406,4.2198
C_00324,LOT_008,False,28.3693,29.6224,29.2422,29.2999,10.4148,9.8843,10.1074,11.0067,4.5662,4.5194,4.6678,4.7623
C_00325,LOT_008,False,28.5695,29.2691,29.5629,29.5337,11.1725,11.3634,11.3814,11.8838,3.7834,3.7969,3.8394,4.0344
C_00326,LOT_008,False,28.2556,29.3836,28.9448,29.4817,10.3148,10.4093,10.743,10.7505,3.9197,3.9577,4.1403,4.0145
C_00327,LOT_008,False,26.4335,27.3121,27.7722,27.7853,9.5622,9.7078,9.8975,9.992,4.0488,4.0618,4.1935,4.2421
C_00328,LOT_008,False,28.8985,29.9426,28.9738,29.4481,10.3857,10.4015,10.8033,10.6762,4.2261,4.4088,4.279,4.4344
C_00329,LOT_008,False,26.8075,27.5127,27.9315,27.9273,10.3811,10.0797,10.5351,10.7067,4.4483,4.5697,4.703,4.7231
C_00330,LOT_008,False,28.7237,29.1822,31.0714,29.8512,10.494,10.9329,10.9171,11.1406,3.9096,4.0713,4.0208,3.9284
C_00331,LOT_008,False,28.7107,28.9349,29.4166,29.6515,9.9994,10.3776,10.22,10.6157,4.1589,4.1865,4.188,4.2779
C_00332,LOT_008,False,27.6289,28.2018,27.183,28.179,9.905,9.7269,9.9547,9.9758,4.6155,4.5838,4.535,4.5225
C_00333,LOT_008,False,25.8027,27.046,26.906,27.2633,10.4684,10.4243,11.3061,11.8133,4.2362,4.325,4.3542,4.4349
C_00334,LOT_008,False,29.0475,30.321,29.9401,30.272,8.5728,8.9029,9.0,8.9673,4.0712,4.0988,4.1317,4.0021
C_00335,LOT_008,False,27.4277,27.0917,27.9971,28.0489,9.5377,9.7464,10.1201,10.2751,3.7728,3.7477,3.8699,3.7679
C_00336,LOT_008,False,25.5381,24.9178,25.8683,24.9437,8.4319,8.7282,9.0019,9.4187,4.1485,4.2962,4.1218,4.1957
C_00337,LOT_008,False,28.344,28.6466,29.6162,28.8041,9.6204,9.6867,10.0258,10.1124,4.3754,4.3079,4.6637,4.6267
C_00338,LOT_008,False,28.5447,27.6515,28.9429,30.4287,10.8513,10.6206,11.0193,11.4136,3.8543,3.7224,3.7512,3.8215
C_00339,LOT_008,False,28.6492,28.5126,29.0918,30.5583,9.9632,10.2495,10.4162,10.913,4.0822,4.2537,4.4129,4.341
C_00340,LOT_008,False,24.9723,25.668,27.4102,26.7699,8.293,8.486,8.4614,8.5945,4.261,4.0217,4.1904,4.2577
C_00341,LOT_008,False,28.6158,29.4908,29.3939,30.0664,9.4512,9.5171,9.9582,9.6188,3.7883,3.8026,3.7449,3.9096
C_00342,LOT_008,False,29.0837,28.5479,29.7226,29.6534,10.2203,10.3493,10.4748,11.3261,3.9179,4.1789,4.1073,4.0901
C_00343,LOT_008,False,28.0282,28.5597,28.6768,29.055,10.3433,10.6174,10.8812,10.9438,3.9879,4.0837,4.1991,4.1682
C_00344,LOT_008,False,31.0292,31.2374,30.2382,32.3592,10.4152,10.5108,10.7302,10.8968,3.9196,4.2008,4.0092,4.2117
C_00345,LOT_008,False,28.609,28.5117,29.5256,29.1992,9.7766,9.6987,10.0313,10.4378,3.8332,3.8471,4.0309,3.9475
C_00346,LOT_008,False,27.9052,28.4394,27.8081,28.9871,9.5746,10.1256,10.3641,10.4371,4.0222,4.0443,4.2097,4.1654
C_00347,LOT_008,False,29.7498,29.3683,29.0143,28.8336,10.3569,10.7301,10.4541,10.6957,3.7969,3.7285,3.7192,3.7962
C_00348,LOT_008,False,29.1569,28.313,29.1993,29.312,10.0447,10.1078,10.3459,10.8032,4.2346,3.899,4.0214,4.016
C_00349,LOT_008,False,28.1456,29.1528,29.2926,29.3018,9.5579,9.3364,9.7212,9.7005,4.2595,4.4435,4.347,4.4825
C_00350,LOT_008,False,27.792,28.2584,27.3671,27.5651,9.9154,9.8696,10.3791,9.8618,3.8335,3.7675,3.8276,3.9819
C_00351,LOT_008,False,27.1513,28.8416,27.8877,29.3263,8.7502,9.1736,9.2121,9.0467,3.972,4.0894,3.9172,4.1461
C_00352,LOT_008,False,24.6072,25.3097,25.5604,25.4663,9.6386,9.8506,10.2274,10.6112,3.6064,3.7033,3.8033,3.7213
C_00353,LOT_008,False,27.423,28.1944,28.6937,28.8406,9.3879,9.2019,9.4653,9.8597,3.9901,4.2806,4.1256,4.2217
C_00354,LOT_008,False,26.7342,27.7246,28.226,27.8175,9.7871,9.8695,10.377,10.0597,3.6917,3.8332,3.8384,3.8783
C_00355,LOT_008,False,29.5502,29.5241,30.9657,29.8652,9.3509,9.05,9.8459,9.6406,4.2213,4.1174,4.3669,4.4043
C_00356,LOT_008,False,27.7773,28.8653,29.1011,29.0021,10.0928,10.8641,11.021,11.1869,4.2794,4.3474,4.4468,4.1444
C_00357,LOT_008,False,26.4256,26.6409,26.6789,27.8181,9.5405,9.9376,9.7638,9.9506,4.1115,4.0963,4.1886,4.2836
C_00358,LOT_008,False,25.5053,25.6797,26.9605,26.7954,10.2242,10.6294,10.6303,11.0554,4.1417,3.9697,3.9536,4.1471
C_00359,LOT_008,False,27.6764,29.7219,29.5121,29.7767,11.503,11.285,11.4511,11.9468,3.6594,3.7341,3.7944,3.9392
C_00360,LOT_008,False,24.0638,25.8611,25.7603,27.1695,10.6281,10.4709,10.9813,10.9346,3.9934,4.0282,3.9943,4.0689
C_00361,LOT_009,False,25.2867,24.5966,25.3525,27.4794,11.7248,11.8906,11.8393,11.6238,4.1179,4.21,4.1234,4.3462
C_00362,LOT_009,False,26.8899,27.1019,27.0662,28.017,11.5495,11.3037,11.9047,11.5123,4.4538,4.4487,4.5198,4.4681
C_00363,LOT_009,False,25.8607,26.9485,26.5218,27.1693,10.9894,11.6404,11.0093,11.4794,3.9136,3.8135,4.0008,3.852
C_00364,LOT_009,False,27.629,27.5773,28.6927,29.0571,10.2117,10.4242,10.6404,10.2651,4.715,4.7139,4.7618,4.7485
C_00365,LOT_009,False,26.9589,25.3538,26.5673,27.8113,9.8855,10.2721,10.0149,10.2469,4.7093,4.7616,4.7065,4.7658
C_00366,LOT_009,False,25.5398,26.6847,27.3994,27.7626,11.625,11.7386,12.5862,12.6469,4.8083,4.5436,4.6349,4.7824
C_00367,LOT_009,False,26.9742,28.2192,30.2295,28.7582,12.8224,12.3299,12.7322,12.874,4.4304,4.4151,4.4785,4.6504
C_00368,LOT_009,False,22.1966,21.853,21.9826,22.8553,10.7803,10.5024,11.1417,11.2902,4.1824,4.3866,4.3733,4.4521
C_00369,LOT_009,False,23.8791,24.8957,25.2068,24.599,10.6347,10.8508,11.0266,10.8997,4.6548,4.7232,4.7002,4.7681
C_00370,LOT_009,False,23.973,24.7707,24.5315,25.7711,10.9112,11.0747,11.1867,11.1813,4.2693,4.4481,4.5984,4.5163
C_00371,LOT_009,False,26.2629,26.4561,27.8063,27.1596,10.0139,10.0813,10.2607,10.3774,3.9848,3.9158,4.1766,3.9672
C_00372,LOT_009,False,25.8795,26.2461,25.4429,26.7703,11.1494,11.0714,11.6659,11.4456,4.111,4.2358,4.1835,4.3894
C_00373,LOT_009,False,26.5541,26.7837,28.7292,28.6196,10.5173,11.0368,10.917,11.0642,4.2533,4.344,4.4048,4.3792
C_00374,LOT_009,False,24.4915,24.0542,24.0367,24.5177,10.8526,11.1219,11.3295,11.4035,4.0661,4.131,4.1318,4.305
C_00375,LOT_009,False,25.6638,26.5138,25.6234,26.3316,11.0389,11.2395,11.0832,11.6566,4.8532,4.6779,4.7535,4.6411
C_00376,LOT_009,False,27.1219,26.7772,27.9163,27.9476,10.7755,10.8275,11.0409,11.2595,4.8972,4.7712,4.8713,4.8686
C_00377,LOT_009,False,23.4343,23.1483,24.2398,24.9208,10.7275,10.8805,10.7951,11.4004,4.2492,4.0194,4.4142,4.3034
C_00378,LOT_009,False,25.5076,25.8839,26.0893,26.271,10.6788,10.9891,10.9194,11.0861,4.2638,4.5562,4.5536,4.4731
C_00379,LOT_009,False,25.3095,25.846,25.357,25.7169,10.1745,10.6395,10.4927,10.4352,4.8194,4.9072,5.0693,4.9667
C_00380,LOT_009,False,26.2719,25.2949,26.5332,27.1856,10.9503,10.7889,11.2549,11.1648,5.0771,4.8675,4.9391,5.0036
C_00381,LOT_009,True,26.6072,33.0422,43.6745,49.856,11.8325,16.5558,23.1519,27.5636,4.7476,5.1214,5.4792,5.607
C_00382,LOT_009,False,27.2691,27.4739,27.4823,28.0707,10.6698,10.8262,11.418,11.3903,4.7439,4.7715,4.9493,4.9184
